data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99
26.25,26.9231,30.25,28.8125,29.8,31.3333,28.0714,30,32.4375,41.3333,38.9444,34.2857,34.6842,32.7222,33,39.75,39.3571,31.2222,32.8462,30.7857,29.8667,34.7222,33.5,31.0556,31.2857,35.6667,41.4286,33.7857,29.4167,30.2353,30.5714,34.8095,36.6667,37.2143,33.6875,33.6667,32.2778,33.3333,34.5556,33.5,31.3333,32.1111,32.0833,30.3077,29.6667,26.5,29.4286,33.5,35.4545,34.5714,35.2143,34.5385,36.8571,39.375,35.7857,35.5714,34.6667,34.7143,35.1667,33.8125,34.4286,35.3571,36,37.2353,35.9091,32,36.6667,33.3333,33.5,30.2222,35.1667,36.9167,39.25,39.6667,42.1429,42.2143,33.2222,36,43.7857,43.2857,38.5,36.2667,38.2308,40.5333,40.8667,43.6923,46.125,40.7143,40.5625,35.9333,35.4,35.9412,42.2143,45.3571,42.3333,38.3125,33,36.375,39.4615
29.7143,27.8,28.4286,25.125,30.3182,30.2,30.2381,29.0526,31.5909,33.6429,35.8667,36.1579,32.3077,33.75,31.0625,33.7222,36.9444,28.3333,29.3125,28.8571,27,33.4545,29,31.5,32.9167,31,29.6957,29.0667,30.5294,31.1538,32.0714,34.5,35.0769,36.5833,38.6364,35.6923,31.6,31.4375,32.6875,31.2143,30.8889,32.4167,32.4444,33.0625,28.7778,28.9091,27.9333,30.7647,34.5333,34.0667,33.4706,33,33.7619,34.5,35.8095,34.8421,33.4444,34.125,34.5,34.0909,36.4,34.2,34,34.875,33.1053,30.3636,38.9524,34.3158,30.4286,31,33.3889,36.2222,37.4375,38.7647,43.7368,38.3333,37.1667,38.8571,44.1875,39.6667,37.25,37.8,38.9091,38.3636,40.25,42.4286,44.5833,42.1538,36.0833,38.6154,36.0769,34.4286,38,42.1875,40.625,37.6364,33.4615,39.5714,41
26.2778,32.5,33.4,27.3333,31.4667,33.05,30.4444,32.75,27.75,33.3846,28.9333,37.6923,31.7333,30.6667,31.7,36.7368,42.875,31.3333,27.9333,26.7857,31.3125,32.3077,28.4375,30.6154,28.6923,32.1111,30,29.0769,29,29.25,31.4167,31.4545,32.8182,35.5,35.8125,34.4545,31.4615,30.1667,29.5455,31.1765,31.9333,33.6,33.5455,33.1,32.1429,28.0714,28.2,32.6667,32.1818,36.2353,35.2222,35.375,34.6154,32.6429,31.8889,33,32.3333,34.6667,31.6667,30.3333,33.7692,33.4615,34.9,36.6667,36.0769,30.5,34.2667,35.3333,32,30.8889,32.7273,34.0909,38.4545,38.4444,43.1,35.7143,36.3,36.75,39.5,39,37.9167,41.75,41.3571,38.8333,38.9091,41.75,43.1111,39.0909,36.25,37.6,35.4286,34.1538,38.7857,44.8889,40.7857,36.4545,36.2,36.8667,39.5
29,28.8462,30.9286,29.9231,28.2143,32.7778,29.5714,29.1538,34.0769,33.5,31.1538,38.7692,33.9333,30.9,32.9545,39.2222,36,26.0769,29.6364,27.2,28.2222,29.3333,31.2727,29.2,30.5385,30,27.2727,30.1111,29.0909,29.3846,29.6667,30.6154,30.0526,34.6154,35.8182,35.3846,32.8182,31.2222,30.6364,29.5385,32.3636,32,33.3125,35.4167,35,29.6154,28.5714,31.5385,32,36.4,34.5385,33.4167,32.7692,32.8889,31.9167,32.7,32.2727,34.1,33.4167,29.7143,32.4,32.4545,34.3333,35.5,31.2143,29.9444,33.8182,33.6667,32.7778,30.3077,33.8182,34.8182,35.25,40.75,41.7778,36.9286,34.4667,36.5,37,41.1667,37.4615,38,39.4545,41.5455,37.3571,42.7273,39.5,35.4615,37.8,33.0769,33.8333,36,42.4444,44.8571,36.6154,35.0455,37.375,35.0769,40.3636
27.8,26.3333,30.1333,30.4444,29.25,30.1,30.3,32.9167,35.2222,41,28.7273,28.8333,38.25,34.3846,32,33.25,35.2222,27.4615,33.25,27.9167,30,28.4615,32.5333,28.6364,34.0769,33.2727,26.8,28.6667,29,29.7273,28.9091,31.4,30,32.6923,34.0769,34.6364,34.2727,29.75,27.9333,28.7778,31.4615,31.8462,31.6923,32.8125,31.3846,30.6667,31.1,29.9091,31.9167,34.8571,35.3333,35.625,33.6,33.8333,32.2727,33.3,33.7778,30.3,34,30.1818,33.4,33.125,34.1667,38.1818,33.3333,30.8571,34.6,34.7857,33.5455,30.9091,34.3,35.7692,37.3077,35.4,43.4167,38.7143,33.7778,35,36.1,38.6,34.9091,35.9167,39.625,38.4545,38.3636,37.0909,40.9091,38.3,36.3,33.7273,36.7778,39.2,41,46,38.1111,33.3333,34.3636,37.2727,37.3846
24.5,33.7143,29,28.3333,34.1818,37.875,40.375,33.5833,33.4615,32.0909,29.4167,29.0714,30.6364,33.1538,28.2857,26,30.25,30,33.1538,28,29.7143,31,34.1538,26.0667,33.3636,34.2,26,33.875,29.3077,29.8889,27.7692,31.7273,27.8182,32.5,33.75,36.0625,30.0833,31.9286,32.1818,31.9333,30,30.3846,29.9167,31.4545,32.8182,29.3077,30.2727,29.5455,31.0909,34.4167,34.1538,32.8462,29.3333,33.3636,32.4545,32.7273,32.2,33.1818,32.2727,30.6,33.25,35.6,38.1429,37.6667,33.5455,28.6154,33.3333,33.3,29.7895,29.6923,32.5,34.8,34.8462,35.8571,40.2,37.3846,32.6667,36.1,37.8889,39,36.625,38.875,41.4615,39.6667,37.5556,39.4286,38.8,39.2,37.8,37.1,35.0769,40.5,39.5,43.6667,39.3636,32.6,33.4167,37.3,39.9
25.9524,32,29,29.8824,31,36.7,33.6471,31.2308,29.7692,29.5,29.3333,30.7059,30.5294,34.3,28,29.5556,29.5833,30.3684,28.3333,26.5714,28.8182,29.3,33.5455,30.9091,31.8125,35.5385,30.4545,34,29.9231,34.0909,28.6667,30.4667,29.4375,32.6,30.8333,34.5833,29.4118,30.8571,32.8462,34.3636,31.6364,31.3636,30.2308,29.8125,30.8571,30.8571,30.5,31.4,31.4667,34.6154,33.8333,35.2727,31.1818,32,32.4545,32.5455,33.1667,30.8182,31.8182,29.7333,34.9,33.7143,36.8889,36.8182,34.2727,29.3,35.3333,32.2,29.8571,29.0769,32,34.375,34.9167,39,38.5833,35.3636,34.5385,35.0833,39.75,37.1667,35.9231,37.3333,41.2,40.625,38.0833,39.3333,39.0769,39.2,36.3571,35.8182,35.1667,40.6364,41.2,42.6471,38.8889,36.4444,30.8889,35.5455,40.5556
24.75,32,32.5,32.1538,33.4706,36.2727,35.4615,36,29.3333,28.6471,29.5,29.2857,27.5294,30.8462,28.8,30.7692,30.1429,31.1111,27.8462,24.7273,30.2727,28.1875,30.6875,28.0833,34.125,30.1176,31.3333,33.0909,28,31.0625,30.6923,30.3636,29.1667,35,29.9167,35.0526,31.7273,29.5,32.9,31.1667,31.4167,33.5455,31.9231,30.8333,30.1875,28.8462,31.375,32.1765,32.75,35.9167,32.8462,32.1875,31.5385,32.9333,32.5556,33.5385,34.25,33.8,31.5833,29.3333,34,33.2857,35.3333,35.1111,30.1429,30.7273,33.6667,32.8,34.9091,30.1818,33.375,37.2857,35.3077,37.5455,37,33.1667,36.7,36.0909,39.8889,39.8182,34.9,41.7,41.75,40,38.3636,38.7143,37.6667,36.4286,35.6667,35.1429,38.8182,38.9,39.7,43.1429,37.2143,37.6923,35.1818,37.6364,37.0833
25.25,29.875,30.5,31.7,32.0909,31.1765,32.6667,30.8462,29.6667,28.7333,29.375,29.5833,32.8182,34.8,28.875,32.6364,29.4375,29.5,28,26.4444,30.4286,28.8667,31.8889,31.875,31.7273,28.7273,32.4167,27.4286,28.1,29.4167,29.5,31.25,33.4545,35.5385,32.625,32.45,31.875,33.7,30.625,28.5833,32.5556,36.0526,36.1818,30.7857,30,30.2727,31.4444,31.8889,30.9286,36.3333,31.7778,32.6,31.3636,35,32.6875,35.5,34.6667,35.3846,31.4167,29.9091,32,31.8462,35.5714,35.9,30.0833,29.0909,35.7143,33.2667,33.4167,31.9091,35.8,37.2,35.8571,39.8571,37.8889,34.8182,32.7273,36.4167,36.0833,40.2,37.1429,41.4,42,42.7,39.9,40.2727,38.125,38.1111,37.4,38.8889,36.625,39.9,38,44.1,36.2,35.8,37.3333,40.75,40.7
24.6316,27.0833,31.4545,30.4545,31.4615,30.4167,32,28.9375,31.1667,28.3846,29.3,29.8462,31,29.5714,37.7,33,30.9167,30.9412,27.9412,28.0833,27.5714,27.75,29,34.7,33.0769,29.4167,28.4545,28.1818,26.1176,28.1667,29.5833,30,35,34.5833,31.5,32,30.2593,32.5,31.25,30.2222,33.1176,41.3333,36.8,34.25,31.3077,29.5714,36.9091,34.7857,35.0833,35.8667,34,33.25,31.8,32.2857,31.9,30.9167,34.8462,35.5,34.6,31.8333,35.2,35.375,34.5333,36.0833,37.8,29.8,35.4167,33.9091,34.2222,31.9167,35.1667,37.6667,38.1,34.75,36.4615,33.1818,34.6667,36.3333,35.5,39.4167,38.8,41,41.75,42.8,37.8889,35.9091,38.4444,35.4286,35.0909,35.4545,34.6667,39.3636,41.3333,43.4545,37.9091,36.375,35.6667,37.7,40
24.4,27.3077,28.5,29.7692,27.5,28.5833,33.5385,29.8571,28.3333,27.3636,26,29.8,31.8182,33.1765,34.3158,33.9286,32,33.2308,29.2,27.3846,27.5833,26.8333,27.4667,31.3,33.3333,34.5,27.7,29.0769,27.1538,27.375,33.3333,29.8235,32.9333,40,33.2,32.4,29.1429,28.2143,28.5385,32.25,33.25,36.4167,32.1,30.6923,31.8889,29.5789,31.6522,34.1429,37.6,39.6,35.75,34.3,32.5455,34.2857,31.9333,31.8667,36.8182,35.5385,36.3636,34,35.1538,34.75,37.6667,37.381,34.25,32.7692,38.8182,35.6923,34.5,35.1818,40,39.2727,37.5,37.5714,37.4,35.0909,39.1667,35.9286,37.1667,39.5,37.25,40.0833,41.8571,39.9167,39.4,38.2727,37,33.6667,34.125,35.6,34.25,38.5833,40.5,43.9091,39.8182,36.25,32.9286,36.2308,38.4545
25.5714,27.75,28.5833,31.3333,31.0625,30,30.9091,31.3333,28.75,25.9,25.5385,29.3636,29.7692,32.1667,31.75,30.8333,35.1,33.1429,28.4167,28.2,25.1538,24.0769,28.8333,31,31.1538,30.6875,31.4615,28,28.625,26.5833,31.5185,30.6154,35.0769,35.7692,35.3077,32.9167,29.4167,28.75,28.9091,26.5385,27.5385,31.875,35.0909,28.4545,31.5,32.8462,31.2308,32.7647,35.4706,35.4737,33.5385,31.6667,27.5,30.4615,30.2727,32.2222,33.8889,32.4,34.6,37.2727,35.3846,33.5833,33.875,35.75,34.4545,33.5,33.3333,34.75,36.2353,30.0714,38.0556,42.2857,38.1667,36.0435,35.3158,33.2778,39.6667,36.8824,39.2222,39.5714,36.3571,36.35,41.7143,40.1,38.2857,38.7222,39.3333,38,36.4167,36.3077,36.7692,38.125,37.2222,44.4286,39.7143,38.5,36.1429,35.8667,38.4615
26.8182,27.2,29.0667,30.9286,32,31.2308,30.0714,30.3125,33.6875,26.8235,27.75,29.9231,27.9091,31.3333,31.2,35.0769,33.7333,26.2857,31.5385,27.8,27.5,28.5833,29.2308,28.9167,28.3333,30.7692,29.8182,25.5,28.6667,28.05,29.8182,27.8462,32.0909,35.9091,37.3846,33.3636,28,28.0909,29.4615,27.6364,29,33.375,32.4,31.9091,31.4444,32,29.5,30,34.5833,34.2222,35.1667,35.1538,31.8182,31.7778,30.9167,31.6154,32.6429,34.3333,37,35,34.75,33.375,32,32.5455,30.3333,29.9231,31.9167,36.1818,33,30.9091,34.7778,39.3846,40.5833,39.2727,38,34.8889,35.75,36.8,37.5556,40.75,36.3846,39,41.0833,43.125,38.3333,34.8889,40.625,37.3889,35.5,35.7778,37.9167,40.1333,39.0588,47.1429,42.7273,36.8571,35.6923,37.0833,39.5
25.6842,24.75,30.4444,30.4167,28.625,33.7,34.5833,29,28.2308,29.2143,31.7857,31.875,28.8333,30.0714,35.0909,30.6154,32.2857,30.7778,29.5556,26,28.1,26.4615,30.5,28.5556,29.0714,29.2308,32.375,25.625,27.5714,30.4545,31.4286,27.9091,34.1429,39.8333,39.1818,30.3846,31.6,26.875,30.0625,28.0909,33.4615,32.5385,31.25,30.7333,34.4615,29,28.0833,33.3333,35.4,33.6667,33.8182,35.8571,31.3846,31.2667,32.7692,31.7333,32.8462,34.9091,34,31.5385,34.9,31.7,30.9091,35.0909,31.0769,30.7692,33.6667,33.8571,33.4444,29.8571,30,36.25,41.8889,38.2,39.3333,33.8182,33.6667,37.7273,35.6364,35.0769,40.5,42.25,41.3333,39.4,41.8571,38.7273,37.5,33.2,33.8462,33.5,34.1818,40.9,43.1429,44.6667,42,39.4444,35.2727,40.125,36.8333
24.9167,25.1667,29.5714,35.3125,30.3333,32.2222,31.6667,31.4167,28.5455,32,36.125,35.5,35.75,30.9333,37.5,30.0769,29.9167,30.7857,27.3077,26.1818,29.3846,28.3333,28.6154,27.6667,30.2,29.5,28.1,24,28.7,28.9375,27.5833,28.6,32.5,39.7222,36.6154,29.4286,29.75,27.5833,32.3,27.9333,34.7692,31.5,34.5,33,30.5455,26.5385,31.2857,33.3077,32.6364,36.8,36.9091,32.6667,32.7273,36.1111,33,35.3636,31.2857,31.1333,35.8462,32.2,37.3,33.1538,33.5455,34.5,33.4,32.8889,35.2,37,29.8571,29.0588,33.6667,36.2222,39.4286,39.4,37.6667,33.2727,36.1818,33.7778,36.7273,35.6364,35.1667,41.8889,41.8462,42.5455,41.4,37.9,38.3,35.0833,31.7143,33.2727,36.3636,41.7143,43.2,43.3,39.7,35.5833,36.9091,36.6923,39.5
29.2105,26.8125,29.6923,29.9375,34.7619,34.7273,31.75,37.1818,31.3333,31.5833,39.3,36.25,35.9091,33.8889,31.4286,29.9091,31.1429,30.5,34,24.6154,26,30.4167,26.7692,27.6364,27.6471,27.1818,24.2,22.7143,29.4545,28.3333,27.8462,28.2778,29.2857,39.0909,32.6667,30.9286,30.4545,28.4545,30.25,31.8333,33.8462,30.4,32.0588,33.4286,35.3636,28.3077,32.1538,34.5556,32.7692,37.8462,36.6923,33.9231,34.0909,37.8182,31.6364,33.8889,33.2,34.2,36.6667,37.6667,33.9286,33.5455,33.5556,36.7273,31.8333,31.4167,35.875,35.8462,33,31.5455,33.5714,36.2857,39.8333,41.0769,40.2,34.5385,32.3333,32.3571,37,37.75,35.6,40.1333,39.5833,40.25,40.5,38.7778,38.8182,32.7778,33.8333,33.2143,36.6667,41.1429,40.1818,46.6,43.3636,37.3,38.5385,37.5,40.3
28.1538,31.375,29.7143,29.0833,28,30.3077,32.4615,28.2727,30.8,31.1875,39.2308,31.55,30.3333,31.5625,32.2222,29.6,30.0667,30.6,30.5882,28.25,25.1875,30.2,27.7692,28.5,28,30.6,27.1111,26.4737,23.75,27.7778,28.1818,29.7273,28,34.3077,35.2353,32.8182,28.6471,27.2778,29.6,33.7273,33,33.0667,35.5556,35.7,33.8182,26.6364,32.4545,33.4545,31.0909,34.5,35,33.75,32.6667,34.25,30.2727,31.2857,29.6667,35.625,36.75,34.3125,41.1,38.875,35.75,37,33.3333,32.5556,32.5333,34.1,31.0667,30.8462,36,37.7692,40.4444,39.6667,40.2667,35.7778,34.2857,33.8125,37.7692,40.9167,40.6667,41.75,40.4545,40.3125,40.6667,41.2727,40.0833,33.5,32.25,31.5,35.1111,42.6667,42.2857,46.75,42.5833,42,39.25,39.5833,38.6
30.3077,25.5,31.6667,29,27.2,28.4615,33.1111,27.2308,25.8333,29.0714,31.913,31.4762,31.45,38.5,30.4286,28,31.3636,29.2,30.1667,27.3077,31.3,33,35.6364,26.3333,27.4545,34.9091,29,27.375,20.25,31.9167,27.9167,29.1429,28.8,34.3077,34.1667,33.6364,30.9,27.4167,30.3846,29.4444,34.1,29.8182,34.5294,31.2143,31.0667,28.3846,29.6923,33.5333,33.0909,35.5,34.6,30.4615,32.1875,36.0714,31.3077,32.1111,33,32.4444,35.5,35.0769,38,39.1667,38.9,43.5714,32.4545,31.6364,35.1818,34.8333,33.625,33.9167,37.625,40.7,37.9091,37.9,41.0909,34.0833,34.8667,33.9,40.4615,40.9167,37.8,40.0667,43.4167,40,41.5,41.4286,43.3636,35.8889,34.7143,31.3,39,39.6364,44.7,46.125,44.0909,41.3636,39.3636,39.3,37.75
27.0833,26.8333,28.2857,31.5,27.3333,31.4,34.25,28.1538,26.7857,28,29,26.0667,33.5238,36.8125,31.25,29.8,31.375,29.3846,31.75,26.1765,29.45,31.6316,28.5714,24.7273,31.25,36.5455,30.3846,29,24.2857,30.75,29.6,29.625,30.4545,33.3846,34.2,32.8,29.8125,27.8667,31,33.5,32,32.25,34.6667,37,31,30.1538,29.1667,30.2778,30.7895,34.8462,36.0833,31.0909,32.7333,36.75,29.4545,33.9333,35.4,35.2,35.0714,38.875,37.6429,39.7857,34.4286,37.7857,33.3077,31.3333,33.3636,32.7778,33.4667,31.5455,35.3333,37.2727,34.5385,39.6471,44.3333,34.2,34.5,35.25,40.3333,41.4167,38.2667,44,41.1,41.3333,42.4615,41.25,42.6364,39.4545,37.2727,36.5556,37.1538,39.1,47.2,46.3636,39.3333,38.6429,35.7143,40.3,37.8889
26.6,27.6154,28.8667,31.5385,30.0714,33.9333,28.2,30.1,29.2857,28.5,30,25.7778,32.7778,29.7273,30.125,28.5833,30.3333,28.5833,33.5385,29.5556,32.0909,33.3077,32,27.9231,32.1875,30.7273,34.5,32.1,24.7857,30,29.7222,28.8333,29.1667,35.5,36.875,29.9375,30.3333,28.5385,28.6154,28.9412,31.0909,34.625,38.2727,36.2727,32.6364,31.9091,29.4286,31.2857,33,36.1538,31.9412,29.5385,34.125,35,28.1429,35,33.3077,35.4,34,35.3,38.4286,37.6429,35.1429,37.125,30.625,31.8333,35,30,31.7778,32.9167,33.1765,33.7273,41.4167,41.5,39.8,34.6923,33.2308,33.2143,40.1818,41.8182,40.1,39.1538,44,42,43.6364,38.6364,39,34.25,33.7273,35.8182,35.0833,41.5,45.1111,42,36.6923,38.1,36,38.6364,35
30,27.7692,31.2857,30.8125,32.4,37.9091,30.4545,31.0476,29.0588,29.75,29.1667,27.9286,31.1111,30.9444,30.4167,30.4,31.4286,31.3333,32.4545,28.75,29.3333,33.1538,27.1429,32.1818,30.5714,28.75,35.8333,30.5455,26.5455,29.2,28.9,30,27.5714,36,34.8571,31.5833,31.4286,29.1538,26.4375,29.1818,29.5385,32,32.1429,31.5714,31,30.8125,31.0909,27.8,34.4167,37.7143,31.0769,30.7059,29.5882,33.8947,31.6429,36,33.9,32.6,34.4545,31.8824,37.3571,35.8889,36.8333,36.7333,32.8125,31,34.1333,33.9,28.5714,33.4,38.4545,34.6,38.9286,34.6667,36.5833,38.2,32.7,33.2727,37.5385,37.6364,38.5385,39.7143,42,42.2222,39.5,43,40.3636,39.6667,35.1111,33.8333,35.8,42.4,41.3333,41.0833,36.9,37.9091,32.1538,35.3636,36.2222
29.5333,27,29.4545,29.9091,29.4,34.2143,33.8235,31.2222,30.3077,28,31.1875,31.3333,32.2143,30.25,26.2,25.8333,31.3158,28.6667,29.4118,27.7059,33,34.0833,23.6667,28.7647,31.9048,29.4286,33.1818,27.3636,26.4615,26.1818,30.7333,30.2667,26.625,35.2667,35.8824,33,33.6154,27.0833,31,27.3333,30.7692,33.25,33.3846,34.6923,34.4615,32.2667,28.6471,31.2143,32.2,40.2727,32.5714,32.6667,30.4706,30.5556,32.5,34.1538,33.9286,33.25,35.5455,33.8571,37.1429,36.3333,39.9167,39.5,30.0833,29.7143,33.8667,34,32.0909,37.3077,41.125,38.3333,42.2727,40.4,40.9333,36.8333,32.6429,36,38.1538,36.5,35.2857,39.5714,45.3333,42.75,41.9231,40.8333,40,37.6429,35.3125,37.0909,37.5,39.7273,41.1429,46.3333,38.5,34.1765,31.1429,36.0667,34.4286
30.6,25.6667,27.1429,29.1667,29.8125,32.9412,34.1429,34.5,29.0909,31.8571,32.7778,30.6667,34.75,28.9,28.3,22.7692,32.125,31.125,33.8889,26.9444,35.0667,32.1818,24.0909,29.65,31.8667,29.0833,30.9091,28.1111,29.2353,26.75,32.0625,29.2353,25.5625,34.375,35.1765,32.2,32.4,30.0769,31.6154,29.2,30.6,35.0714,33.0714,32.7692,33.0625,33,29.1667,29.9333,32.6667,35.4444,34.0769,37.3846,35.1111,29.3333,34.5,34.4667,38.5833,35.0667,34.3333,34.5882,36.9231,35.5,39.2,39,32.6364,32.3077,34.1,33.5714,36.5,35.2,39.8,39.75,38.125,42.5,37.1,34.4,34.5455,34.9231,35.4167,37.2222,33.9231,37.4375,40.0625,41.6154,44.8667,42,41.2,39.5833,37.1667,37,37.0909,38.6667,38.9231,45.2222,37.7273,32.25,31.2308,34.7692,33.6
